NP#10:1	NP#10:1				The best!
NP#10:2	NP#10:2				Great food, amazing service, this place is a class act.
NP#10:3	NP#10:3				The veal was incredible last night.
NP#10:4	NP#10:4				Fresh, mind blowing flavors.
NP#10:5	NP#10:5				This place is a must visit!
BHD#2:0	BHD#2:0				You want to have a real hot dog in Brooklyn?
BHD#2:1	BHD#2:1				Skip Nathan's...you can get that at the mall...go to Bark.
BHD#2:2	BHD#2:2				Delicious, creative and fun.
Z#11:0	Z#11:0				Got a date? Go here!
Z#11:1	Z#11:1				Every time I have a special occasion with my boyfriend I have a hard time going anywhere else.
Z#11:2	Z#11:2				It is so romantic.
Z#11:3	Z#11:3				Its dark, and cozy.. there is always jazz music playing when we go.
Z#11:4	Z#11:4				Most of the booths allow you to sit next to eachother without looking like 'that' couple.
Z#11:5	Z#11:5				The food is all shared so we get to order together and eat together.
Z#11:6	Z#11:6				I've enjoyed 99% of the dishes we've ordered with the only exceptions being the occasional too-authentic-for-me dish (I'm a daring eater but not THAT daring).
Z#11:7	Z#11:7				Once you try it for a special occasion beware.. you can't stop!
Z#11:8	Z#11:8				You'll be ther for every anniversary, birthday, valentines day...
WE#4:0	WE#4:0				For a Fabulous Wedding!
WE#4:1	WE#4:1				My daughter's wedding reception at Water's Edge received the highest compliments from our guests.
WE#4:2	WE#4:2				Everyone raved about the atmosphere (elegant rooms and absolutely incomparable views) and the fabulous food!
WE#4:3	WE#4:3				Service was wonderful;
WE#4:4	WE#4:4				everyone was cheerfully cooperative and helpful.
WE#4:5	WE#4:5				Paul, the maitre d', was totally professional and always on top of things.
WE#4:6	WE#4:6				Thank you everyone at Water's Edge.
WE#4:7	WE#4:7				Ruth, mother of the Bride
TR#2:0	TR#2:0				would NOT go back.
TR#2:1	TR#2:1				Service ok but unfriendly,filthy bathroom.
TR#2:2	TR#2:2				The high prices you're going to pay is for the view not for the food.
TR#2:3	TR#2:3				The bar drinks were Eh, ok to say the least.
TR#2:4	TR#2:4				The stuff tilapia was horrid...tasted like cardboard.
TR#2:5	TR#2:5				We thought the dessert would be better, Wrong!
TR#2:6	TR#2:6				$170 down the toilet...
TR#2:7	TR#2:7				oh speaking of bathroom , the mens bathroom was disgusting.
TR#2:8	TR#2:8				The floor was wet, the trash can filled with hand towels n all over the floor, no soap, and no hand towels left.
TR#2:9	TR#2:9				Go to son cubano in edgewater nj instead.
TFS#10:0	TFS#10:0				Good Experience
TFS#10:1	TFS#10:1				During our trip to NYC, we made reservations to dine in the pool room of the Four Seasons for their pre-theater menu (offering a modified menu for $65 pp).
TFS#10:2	TFS#10:2				The wine list was extensive - though the staff did not seem knowledgeable about wine pairings.
TFS#10:3	TFS#10:3				The bread we received was horrible - rock hard and cold - and the "free" appetizer of olives was disappointing.
TFS#10:4	TFS#10:4				However, our main course was wonderful.
TFS#10:5	TFS#10:5				I had fish and my husband had the filet - both of which exceeded our expectations.
TFS#10:6	TFS#10:6				The dessert (we had a pear torte) was good - but, once again, the staff was unable to provide appropriate drink suggestions.
TFS#10:7	TFS#10:7				When we inquired about ports - the waitress listed off several but did not know taste variations or cost.
TFS#10:8	TFS#10:8				Not what I would expect for the price and prestige of this location.
TFS#10:9	TFS#10:9				All in all, I would return - as it was a beautiful restaurant - but I hope the staff pays more attention to the little details in the future.
Z#9:0	Z#9:0				short and sweet – seating is great:it's romantic,cozy and private.
Z#9:1	Z#9:1				The boths are not as small as some of the reviews make them out to look they're perfect for 2 people.
Z#9:2	Z#9:2				The service was extremely fast and attentive(thanks to the service button on your table) but I barely understood 1 word when the waiter took our order.
Z#9:3	Z#9:3				The food was ok and fair nothing to go crazy.
Z#9:4	Z#9:4				over.
Z#9:5	Z#9:5				Over all the looks of the place exceeds the actual meals.
Z#9:6	Z#9:6				So what you really end up paying for is the restaurant not the food.
Z#9:7	Z#9:7				Will prob. not return but it is a great dinning experience to try atleast once.
NP#3:0	NP#3:0				Impressed...
NP#3:1	NP#3:1				Subtle food and service
NP#3:2	NP#3:2				Noodle pudding is exactly the type of service and food I enjoy.
NP#3:3	NP#3:3				Servers are all different, Greg is my favorite.
NP#3:4	NP#3:4				Sometimes tables don't understand his sense of humor but it's refreshing to have a server who has personality, professionalism, and respects the privacy of your dinner.
NP#3:5	NP#3:5				This is the first place I've been that a runner remembers my order... hope he likes his job because I have half a mind to steal him for my restaurant.
NP#3:6	NP#3:6				Prices are fair across the board for both food and bev.
NP#3:7	NP#3:7				I go out to eat and like my courses, servers are patient and never rush courses or force another drink.
NP#3:8	NP#3:8				Restaurants in manhattan should try to model food and service after this place.
BHD#7:0	BHD#7:0				amazing fresh dogs but best of all endless toppings!!!
BHD#7:1	BHD#7:1				this place had ALL the trimmings and i mean all.
BHD#7:2	BHD#7:2				peppers, onions, relish, chilli, cheeses, you NAME it.
BHD#7:3	BHD#7:3				amazing fun for hot dog lovers of all ages PLEASE do yourself a favor and check this place out!!!!
CLF#5:0	CLF#5:0				BEST DINING EXPERIENCE IN THE WEST VILLAGE!
CLF#5:1	CLF#5:1				Stepping into Casa La Femme last night was a true experience unlike any other in New York!
CLF#5:2	CLF#5:2				Highly impressed from the decor to the food to the hospitality to the great night I had!
CLF#5:3	CLF#5:3				The have a great cocktail with Citrus Vodka and lemon and lime juice and mint leaves that is to die for!
CLF#5:4	CLF#5:4				Food took some time to prepare, all worth waiting for.
CLF#5:5	CLF#5:5				We were drawn into the belly dancing show that captivated the crowd.
CLF#5:6	CLF#5:6				I never write on these sites but this restaurant is def worth commending!
CLF#5:7	CLF#5:7				Great find in the West Village!
NP#4:0	NP#4:0				Maggot in the food!
NP#4:1	NP#4:1				I've been wanting to go to this place forever and finally got a table.
NP#4:2	NP#4:2				The menu looked great, and the waiter was very nice, but when the food came, it was average.
NP#4:3	NP#4:3				Nevertheless, I finished my plate, and that's when I found a maggot in mushroom sauce at the bottom.
NP#4:4	NP#4:4				I showed it to the manager, and he smilingly apologized and brought us two free desserts (but did not ask us what we wanted and so brought the last two desserts we would have asked for).
NP#4:5	NP#4:5				When the bill came, nothing was comped, so I told the manager very politely that we were willing to pay for the wine, but I didn't think I should have to pay for food with a maggot in it.
NP#4:6	NP#4:6				Yes, I ate the food, but I certainly would not have if I had seen the maggot before eating, and I was at this point fairly sick to my stomach.
NP#4:7	NP#4:7				The manager finally said he would comp the two glasses of wine (which cost less than the food), and made it seem like a big concession.
NP#4:8	NP#4:8				We paid and left because we didn't feel like arguing any more.
NP#4:9	NP#4:9				I have worked in restaurants and cook a lot, and there is no way a maggot should be able to get into well prepared food.
NP#4:10	NP#4:10				For a restaurant with such a good reputation and that is usually so packed, there was no reason for such a lack of intelligent customer service.
FF#1:0	FF#1:0				A fairly late entry into the haute barnyard sweepstakes, Flatbush Farm isn't in the same league as the Blue Hills or even the Farm on Adderlys of the world, but it's pretty good, albeit with a somewhat dismal setting.
P#6:0	P#6:0				Unhygienic
P#6:1	P#6:1				I do not recommend.
P#6:2	P#6:2				I went there 2times .
P#6:3	P#6:3				I got hair in my food 2 times of then !
BzG#2:0	BzG#2:0				Great place, great value.
BzG#2:1	BzG#2:1				The food is flavorful, plentiful and reasonably priced.
BzG#2:2	BzG#2:2				The atmosphere is relaxed and casual.
BzG#2:3	BzG#2:3				It's a great place to order from or sit-in.
TVU#4:0	TVU#4:0				Awesome
TVU#4:1	TVU#4:1				Inexpensive, unassuming, great time!
Z#2:0	Z#2:0				Sushi experience was unbelievable with my fiance.
Z#2:1	Z#2:1				Try it!
Z#2:2	Z#2:2				Very pleased
Y#9:0	Y#9:0				Good creative rolls!
Y#9:1	Y#9:1				Yamato is an excellent place to go if youre not into sashimi, or if you have friends who doesnt like sushi much.
Y#9:2	Y#9:2				They have great rolls, the triple color and norwegetan rolls, are awesome and filling.
Y#9:3	Y#9:3				One special roll and one regular roll is enough to fill you up, but save room for dessert!
Y#9:4	Y#9:4				They have a delicious banana chocolate dessert, as well as a great green tea tempura.
Y#9:5	Y#9:5				The appetizers are also delicious!
Z#5:0	Z#5:0				Amazing food.
Z#5:1	Z#5:1				Mazing interior.
Z#5:2	Z#5:2				Great food!
Z#5:3	Z#5:3				I've had my fair share of modern Japanese and this spot delivers.
Z#5:4	Z#5:4				The atmosphere was pretty nice but had a bit lacking, which it tries to make up for with a crazy scheme of mirrors.
Z#5:5	Z#5:5				If you're into being lost when you're just five feet from your table then hey, that's a good thing.
Z#5:6	Z#5:6				Despite the confusing mirrors this will likely be my go-to for modern Japanese food for the foreseeable future.
Z#5:7	Z#5:7				Another review here claimed the pre-fix was $29/per person including sake but it is $55 per person not including sake.
TM#4:0	TM#4:0				Indo Chinese food, pretty good...
TM#4:1	TM#4:1				Not a very fancy place but very good Chinese style Indian food.
TM#4:2	TM#4:2				The chicken lollipop is my favorite, most of the dishes (I have to agree with a previous reviewer) are quite oily and very spicy, espeically the Chilli Chicken.
TM#4:3	TM#4:3				My mom originally introduced me to this place, but even she (being Indian) feels the food can be somewhat over the top spicy and far too oily.
TM#4:4	TM#4:4				Still we keep going back :)
TFS#11:0	TFS#11:0				I was speechless by the horrible food.
TFS#11:1	TFS#11:1				I attended a holiday dinner at the restaurant, and the food was majorly disappointing.
TFS#11:2	TFS#11:2				Rather than eating the meat entree being offered, I requested a vegetarian dish.
TFS#11:3	TFS#11:3				Rather than preparing vegetarian dish, the chef presented me with a plate of steamed vegetables (minus sauce, seasoning, or any form or aesthetic presentation).
TFS#11:4	TFS#11:4				I was so stunned, and I left the dinner hungry and majorly disappointing.
TFS#11:5	TFS#11:5				This place survives on reputation alone.
TFS#11:6	TFS#11:6				I will NEVER return.
ADLT#10:0	ADLT#10:0				Best In ALL of NYC
ADLT#10:1	ADLT#10:1				This is the MOST wonderful restaurant in all of New York City, not just Brooklyn...
